Store_ID,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
158,1892,2163,550,91126
159,1849,2255,553,90064
160,1903,1723,211,76027
161,1889,1587,1322,116136
162,1152,1894,496,70252
163,1714,2353,1044,111118
164,1476,1213,1311,99001
165,1660,2283,389,81719
166,1416,2092,842,89685
167,1140,1921,1050,84088
168,1193,2360,1445,106851
169,1606,2262,945,102883
170,1572,1588,938,91255
171,1489,1526,229,63936
172,1152,2041,322,63065
173,1338,1205,280,58251
174,1883,1663,575,85701
175,1865,2308,839,102949
176,1130,2411,201,64715
177,1492,2255,1404,112581
178,1732,1674,825,89600
179,1615,1207,520,74963
180,1866,2459,915,108834
181,1266,1522,1197,93430
182,1694,2384,918,106276
183,1864,2142,1075,107849
184,1489,1659,390,70864
185,1850,2050,276,82912
186,1470,1500,1272,101791
187,1198,2399,236,65198
188,1706,1657,982,92997
189,1327,1674,785,78988
190,1999,1649,1117,113505
191,1176,2276,571,76428
192,1566,1909,1295,111105
193,1015,2162,621,72529
194,1901,1545,1112,108534
195,1401,2252,1316,108809
196,1170,2203,814,84491
197,1020,1437,1487,97407
198,1630,1407,1233,105624
199,1944,1594,1386,116944
200,1278,1454,519,69544
201,1485,2369,965,97583
202,1909,1409,321,75584
203,1626,1630,1365,103474
204,1609,2231,1162,106045
205,1693,2241,811,100970
206,1852,1954,840,97270
207,1010,1286,1258,82968
208,1096,1520,398,64248
209,1183,1996,216,62397
210,1317,1243,1497,104162
211,1568,1682,1390,109423
212,1729,1255,794,86859
213,1405,2456,214,69814
214,1231,2485,877,87372
215,1096,1391,584,60739
216,1505,1305,963,85539
217,1979,2450,889,112243
218,1025,2389,917,89803
219,1497,2484,811,95168
220,1910,1339,641,90158
221,1141,1673,1410,93390
222,1212,1432,1425,99414
223,1628,2083,532,83717
224,1811,2349,1172,118449
225,1646,1801,509,83030
226,1717,2267,898,100760
227,1696,1454,934,89551
228,1955,1816,469,83568
229,1911,1295,1201,105361
230,1536,1484,238,65326
231,1137,2288,803,85592
232,1450,1314,693,76434
233,1199,2438,1347,109273
234,1821,2026,1283,117107
235,1325,2056,574,78150
236,1420,1507,1215,94227
237,1869,1210,374,75380
238,1760,1209,1007,89565
239,1021,2327,527,68705
240,1296,2358,643,86988
241,1077,1274,225,52079
242,1219,1413,641,72928
243,1689,1370,1059,99734
244,1369,1593,1393,97834
245,1303,1364,897,77117
246,1461,2214,828,88237
247,1424,1387,373,63109
248,1462,1637,481,68078
249,1557,1306,1426,108114
250,1855,1221,1358,110138
251,1656,2291,458,81161
252,1924,1709,230,80454
253,1234,2238,277,66575
254,1557,1220,406,64418
255,1451,2203,1064,95951
256,1884,1580,474,83095
257,1322,2181,923,96479
258,1974,1465,1185,104835
259,1302,1754,954,89582
260,1384,2162,1100,97392
261,1413,2112,663,78930
262,1063,2301,356,67384
263,1843,1242,765,86249
264,1547,2380,870,97954
265,1949,1946,815,100981
266,1477,1285,312,67381
267,1545,2258,950,97428
268,1642,2140,221,77301
269,1468,2458,355,73745
270,1595,2214,845,91190
271,1048,2444,912,91903
272,1822,1592,438,82565
273,1288,1917,248,59465
274,1253,2498,1460,108309
275,1668,1366,550,73893
276,1055,1444,1248,89881
277,1722,2107,306,82771
278,1287,1380,1392,101262
279,1028,1923,435,65540
280,1222,2044,669,73820
281,1330,2164,612,82260
282,1136,1693,368,64684
283,1109,2249,1399,102214
284,1611,1944,1119,102617
285,1032,1555,412,59575
286,1520,1743,1485,114143
287,1596,2283,1464,121550
288,1973,1518,223,77362
289,1562,1229,569,78360
290,1591,1835,908,97814
291,1169,2256,348,69190
292,1832,1449,853,91973
293,1620,1549,1253,106600
294,1211,2424,868,85283
295,1024,2123,442,64477
296,1113,2189,382,63183
297,1788,2292,903,102785
298,1044,1750,943,82955
299,1271,1516,665,74283
300,1670,2321,772,100361
301,1475,1702,1435,105830
302,1910,1977,656,95397
303,1499,2035,812,89693
304,1787,2031,1144,105867
305,1251,1619,1276,98864
306,1666,1955,292,71185
307,1235,1356,548,62556
308,1086,2316,808,86978
309,1391,2019,306,71674
310,1739,1716,941,98310
311,1053,2171,1281,93680
312,1431,1231,678,77692
313,1878,1940,1058,109603
314,1444,2300,790,96011
315,1755,1636,1285,109094
316,1290,2474,306,74592
317,1100,1920,438,61473
318,1740,2079,1357,112680
319,1800,1274,1428,107420
320,1915,2122,322,83530
321,1451,1385,1317,95439
322,1792,1299,1140,103025
323,1723,2114,644,87333
324,1229,2191,855,85900
325,1606,1241,1031,88177
326,1166,1698,1487,101469
327,1687,2063,330,75263
328,1231,1888,886,84641
329,1901,1882,892,98615
330,1079,2466,778,83130
331,1575,2166,609,88310
332,1881,2413,440,87815
333,1087,2412,1207,101979
334,1416,2320,877,98113
335,1810,1355,737,84526
336,1714,1456,1087,98732
337,1706,1866,574,89942
338,1728,2214,1352,118188
339,1738,1962,252,73426
340,1670,1226,1049,89067
341,1657,2161,1142,112026
342,1324,1557,601,69597
343,1832,1986,363,85122
344,1188,2156,1028,92849
345,1500,1453,1402,99053
346,1206,1666,812,83226
347,1145,1942,306,63743
348,1167,1515,942,75492
349,1163,1774,863,78597
350,1465,2215,393,74413
351,1668,1863,968,100405
352,1662,1780,1000,94746
353,1806,1389,1108,99014
354,1681,1959,304,77826
355,1458,1876,1043,96694
356,1717,2373,1069,110286
357,1326,2429,826,89262
358,1665,1720,1249,110699
359,1230,2104,383,69301
360,1240,2292,1494,110426
361,1048,1510,927,81554
362,1690,1583,714,85291
363,1958,2199,1315,124191
364,1300,1703,960,86159
365,1617,1914,426,78889
366,1182,2313,224,64539
367,1256,2062,315,67480
368,1342,1981,982,94227
369,1503,1595,488,72534
370,1784,2138,656,90353
371,1275,2440,953,96774
372,1777,2248,860,96708
373,1624,2015,911,100775
374,1732,2473,355,89863
375,1051,1833,689,74972
376,1879,1341,935,91439
377,1138,2230,472,67729
378,1123,1202,936,79550
379,1324,1523,445,66429
380,1407,1549,461,69579
381,1270,1434,266,62547
382,1703,2380,1222,118434
383,1533,1235,449,70836
384,1174,2197,1446,109119
385,1380,1558,1077,90265
386,1131,2429,378,71439
387,1440,1374,714,76429
388,1856,1278,801,87858
389,1208,1817,417,67824
390,1942,2443,1388,125533
391,1566,2048,1290,107586
392,1975,1348,449,84934
393,1583,2375,723,88534
394,1508,2031,619,82409
395,1526,1683,1135,96303
396,1717,1911,412,78456
397,1143,1462,1475,99041
398,1409,1989,604,84803
399,1821,2274,1169,109300
400,1724,1290,847,92262
401,1505,1209,1148,94486
402,1954,2060,1409,124658
403,1981,2210,646,101125
404,1626,1797,1313,105958
405,1750,2257,703,97338
406,1925,1655,667,94788
407,1556,1321,1112,88897
408,1037,1233,1124,82486
409,1150,2067,538,73072
410,1475,2221,1177,103940
411,1438,2027,700,80889
412,1332,2251,324,69524
413,1524,2090,1164,102887
414,1376,1655,305,64308
415,1315,2068,539,78668
416,1922,1849,1134,110780
417,1972,1951,402,88068
418,1967,1246,519,78237
419,1727,1833,561,79979
420,1423,1770,1248,97521
421,1637,1221,618,82021
422,1043,2480,1246,96907
423,1460,1859,880,86995
424,1882,1347,543,81002
425,1806,1227,659,84700
426,1603,2321,277,75224
427,1624,1944,343,80656
428,1253,1438,396,58971
429,1837,1946,1434,115293
430,1738,1550,652,86649
431,1417,2463,691,84241
432,1171,2218,364,64683
433,1410,2319,1409,116454
434,1696,1229,227,69614
435,1965,1559,407,84366
436,1585,1478,852,89699
437,1308,1447,329,59417
438,1601,2010,1104,104517
439,1539,1784,391,70014
440,1043,2108,1111,92307
441,1001,1794,1309,96731
442,1338,1847,1478,112052
443,1127,1336,1308,94329
444,1606,2247,867,95747
445,1992,1451,335,83011
446,1410,1331,1494,101240
447,1852,1511,724,86751
448,1542,1696,967,90926
449,1871,2074,261,78476
450,1064,2164,561,73861
451,1150,2208,988,85541
452,1610,1215,877,81066
453,1820,2190,1418,118274
454,1643,2330,1424,121746
455,1070,1321,1485,94454
456,1652,1738,838,94457
457,1295,1437,327,59197
458,1230,1671,1482,107021
459,1083,2387,264,66170
460,1751,1700,641,82000
461,1176,1856,235,59799
462,1317,1415,614,66413
463,1454,2463,332,81411
464,1781,1674,580,81813
465,1164,2174,726,81794
466,1279,1543,714,71218
467,1406,2409,1209,111047
468,1450,2151,710,89133
469,1634,1992,1111,100178
470,1476,2419,1192,107920
471,1249,2297,416,68520
472,1490,2398,1352,112306
473,1351,1604,390,68330
474,1565,1522,457,70917
475,1905,1212,1443,112024
476,1681,1609,1035,96916
477,1441,1297,1215,92460
478,1856,2450,324,90878
479,1365,1339,451,67665
480,1758,1992,1137,105185
481,1733,1443,1268,101893
482,1756,2278,313,84713
483,1716,2075,937,96022
484,1850,2073,590,90411
485,1362,2087,1017,97405
486,1907,2191,759,98942
487,1105,1942,1283,94672
488,1036,2047,1317,93231
489,1112,2201,794,82909
490,1144,1999,536,72567
491,1158,1694,548,71419
492,1115,2024,1200,95726
493,1618,1954,1033,98497
494,1212,1233,821,76189
495,1953,2188,295,86498
496,1803,1691,273,75884
497,1425,1604,1018,86981
498,1337,2110,1019,93537
499,1770,1793,429,82470
500,1213,1279,922,74650
501,1093,1375,1178,80064
502,1164,1626,1187,86308
503,1621,2411,352,77985
504,1302,2150,383,68777
505,1848,2303,1161,116341
506,1795,2176,692,94861
507,1328,1898,453,69383
508,1540,2169,1261,104937
509,1642,1795,937,98357
510,1739,1922,1465,118584
511,1397,1918,756,87643
512,1425,2166,897,96537
513,1889,1316,625,88631
514,1292,1227,767,70924
515,1740,2149,263,74460
516,1168,1781,408,65999
517,1018,1479,1172,81056
518,1225,1630,256,64062
519,1934,1495,1378,111190
520,1319,2290,1200,106551
521,1499,1533,646,79149
522,1558,1818,765,85185
523,1360,1354,676,77846
524,1217,1601,606,68327
525,1999,1969,440,86478
526,1112,2397,1211,103734
527,1511,1439,366,64127
528,1357,1896,1116,94516
529,1514,1489,1410,102162
530,1098,1627,1329,89243
531,1796,2043,629,94369
532,1718,1283,668,78518
533,1715,2122,874,100154
534,1442,1571,327,63325
535,1682,1255,1353,106314
536,1794,1207,496,72830
537,1232,1939,1181,98878
538,1917,1359,591,83073
539,1570,2047,352,76184
540,1895,1660,411,84224
541,1400,2142,1474,116594
542,1988,2422,550,98657
543,1549,2023,483,84348
544,1237,1292,854,78075
545,1488,1554,534,74746
546,1234,1927,1248,97686
547,1779,1413,677,88196
548,1918,1274,743,85951
549,1518,1829,1380,103356
550,1096,2366,964,92617
551,1654,1768,330,78549
552,1100,1415,1028,82226
553,1343,2225,1040,95259
554,1203,1915,1392,103029
555,1931,1532,343,81192
556,1703,1439,922,92044
557,1379,2186,1134,100404
558,1544,1262,1412,100282
559,1622,2141,1088,101629
560,1859,2033,300,83149
561,1689,1484,1028,92294
562,1998,1799,282,86089
563,1890,2372,208,84505
564,1128,2403,652,81815
565,1662,2334,1457,124657
566,1097,1771,1150,93389
567,1454,1648,1493,104434
568,1676,1508,1297,104447
569,1914,1244,402,76065
570,1795,1728,1203,110866
571,1668,1904,224,71735
572,1485,1565,993,86978
573,1564,2333,1257,106169
574,1614,2475,218,78493
575,1498,2126,534,85793
576,1734,1722,838,97755
577,1377,2269,1014,93035
578,1818,2440,1430,121017
579,1814,1303,463,77211
580,1519,2067,1195,106401
581,1469,1515,708,77050
582,1272,1461,1104,91042
583,1743,1767,238,74493
584,1669,1697,761,90937
585,1907,1498,1086,106136
586,1445,1476,214,62436
587,1782,1950,985,98327
588,1360,1288,577,70724
589,1542,2164,897,95016
590,1136,1474,319,52751
591,1168,2316,701,81249
592,1944,1633,1216,112928
593,1158,1411,1183,82515
594,1407,1343,1378,99093
595,1450,2413,487,78666
596,1732,1335,825,87437
597,1704,2092,1154,108649
598,1743,2160,1351,116640
599,1140,2279,223,61807
600,1657,2354,493,85942
601,1762,1674,1266,113281
602,1417,1332,933,79662
603,1522,2240,565,82806
604,1028,1780,1433,98778
605,1971,1486,680,92574
606,1901,1252,354,78463
607,1849,2180,246,85929
608,1645,1620,1114,99872
609,1889,2411,879,108474
610,1042,1954,334,59969
611,1598,1940,562,84552
612,1948,2131,268,79881
613,1825,1360,824,95651
614,1312,2229,239,72214
615,1590,1328,502,71449
616,1855,2489,523,98265
617,1373,2056,273,66603
618,1721,1851,1452,115179
619,1906,2395,1248,124420
620,1712,1312,399,70996
621,1816,2152,232,78558
622,1501,1560,1492,105212
623,1787,2011,847,101709
624,1396,1466,970,90968
625,1153,2318,940,90095
626,1333,1986,1192,101466
627,1784,2348,732,97568
628,1260,1338,797,75513
629,1984,1261,1318,112179
630,1886,2135,985,111234
631,1667,1590,883,87498
632,1946,1919,892,106488
633,1836,2083,481,92693
634,1643,1840,303,73828
635,1698,2275,1441,116290
636,1524,1599,891,84924
637,1130,2305,1291,105898
638,1844,2160,1399,119631
639,1352,1731,604,78289
640,1864,1372,327,70639
641,1317,2285,1423,108904
642,1399,2088,663,86233
643,1356,1584,1338,103742
644,1506,1806,512,79847
645,1842,2180,1361,119613
646,1908,1841,246,76374
647,1914,2205,1033,109438
648,1158,2412,1085,91698
649,1955,1404,1414,116364
650,1645,1222,606,78755
651,1144,1342,609,63554
652,1863,1608,601,86267
653,1608,2398,683,97174
654,1956,2432,421,95126
655,1427,1398,470,70786
656,1748,2022,1181,109358
657,1287,2376,1276,102125
658,1747,1363,1208,102808
659,1611,2281,1463,122465
660,1300,1359,652,69741
661,1792,2474,436,86427
662,1958,1982,929,104054
663,1847,2189,1248,114183
664,1533,2144,1281,105912
665,1915,1822,1159,113871
666,1845,1219,1242,99564
667,1545,2065,1067,96850
668,1004,1225,226,43899
669,1551,2403,917,103773
670,1124,1234,1224,89339
671,1067,1350,214,54160
672,1162,2384,1170,103500
673,1162,1523,1171,83484
674,1042,2153,475,72921
675,1846,1552,849,92564
676,1722,1374,527,75217
677,1870,1929,893,100600
678,1038,1804,432,63934
679,1378,2479,458,81316
680,1688,1811,669,85921
681,1122,2282,1349,104705
682,1721,1264,1243,105380
683,1510,1790,342,75757
684,1773,2072,469,86694
685,1506,2286,553,81645
686,1230,2015,794,83798
687,1219,1483,1118,90374
688,1501,1655,261,68477
689,1392,1704,705,78776
690,1296,1726,339,61170
691,1197,2061,1380,99240
692,1517,2147,1460,117857
693,1007,1602,715,65606
694,1462,1662,722,78749
695,1805,2490,231,82895
696,1873,1363,291,73830
697,1334,1633,814,86275
698,1545,2445,314,82733
699,1539,2217,485,79935
700,1691,1417,511,75676
701,1077,1588,233,57789
702,1030,2457,753,85053
703,1939,2324,563,93542
704,1174,1688,1033,87526
705,1009,1414,305,57013
706,1835,2381,377,83375
707,1771,1707,1249,105647
708,1963,1741,1405,122165
709,1822,1750,712,87234
710,1353,1790,1006,95272
711,1959,1704,975,107449
712,1227,2022,477,72435
713,1592,1498,831,88575
714,1284,2452,647,83176
715,1677,2032,553,85867
716,1448,2292,1466,114730
717,1421,1756,870,86889
718,1989,2325,360,89117
719,1402,1273,880,76499
720,1334,2146,1018,89985
721,1359,1280,888,78031
722,1454,2259,1083,103556
723,1988,2454,487,95325
724,1052,2367,457,70055
725,1394,1239,1202,87126
726,1928,1825,814,101254
727,1814,1619,883,99014
728,1063,2065,1391,99926
729,1635,2047,328,81640
730,1733,1215,373,69500
731,1658,2367,1465,122045
732,1932,1678,711,91065
733,1157,1778,613,76374
734,1504,2130,820,93026
735,1039,1833,320,59421
736,1796,2189,354,83807
737,1566,2498,578,89509
738,1029,2454,1404,100033
739,1183,1580,843,78679
740,1359,2370,733,84157
741,1346,1732,1307,96528
742,1923,1496,646,84410
743,1956,1508,710,92707
744,1874,2462,976,108001
745,1396,1607,1203,98492
746,1145,1730,835,81499
747,1071,2047,807,76764
748,1603,1379,1185,102593
749,1903,2254,276,87777
750,1380,1634,1296,96291
751,1467,1966,1282,104258
752,1184,1536,508,64512
753,1563,1599,1005,94728
754,1928,2160,1271,122832
755,1716,2339,1147,107256
756,1574,2443,968,99647
757,1102,1561,433,61193
758,1179,2119,606,78798
759,1608,2486,799,99464
760,1542,1736,771,83646
761,1150,1712,720,71458
762,1261,1704,1482,101831
763,1475,2222,331,71650
764,1095,1376,685,63361
765,1361,2469,570,79171
766,1406,2176,342,75252
767,1716,1672,1303,104033
768,1116,1200,907,75176
769,1365,1616,234,60328
770,1022,1624,628,62320
771,1998,2049,754,98971
772,1402,1283,278,57280
773,1221,1637,628,74083
774,1285,2001,516,78725
775,1018,2206,779,83223
776,1052,1843,1394,99320
777,1122,1249,606,64567
778,1543,1288,1420,101327
779,1305,1910,1332,103340
780,1738,1706,1089,104996
781,1467,1852,1393,103422
782,1377,2005,367,72279
783,1733,2047,1474,121551
784,1173,1718,626,73117
785,1747,2483,1035,110130
786,1947,2476,709,107976
787,1342,2053,737,85588
788,1783,1884,1262,111326
789,1199,2381,1466,110414
790,1688,1651,573,82989
791,1412,1522,273,67354
792,1723,2252,214,75898
793,1795,1580,247,73067
794,1811,1284,329,67634
795,1147,1934,617,71753
796,1591,2383,398,78824
797,1838,1481,1115,104850
798,1344,2457,983,92713
799,1214,2148,569,78288
800,1523,1259,322,65212
801,1229,1438,809,75689
802,1449,2472,951,95620
803,1605,1729,1327,107477
804,1271,1862,1066,88564
805,1691,2493,1277,112824
806,1994,1742,619,92429
807,1854,2018,1262,118789
808,1557,1556,921,88766
809,1371,1861,1410,110512
810,1447,1271,736,78222
811,1938,1715,935,104175
812,1662,1863,222,74258
813,1109,1980,873,86610
814,1615,1917,1461,118273
815,1466,1958,363,72226
816,1168,1689,450,67779
817,1684,1742,464,79199
818,1912,2327,881,103271
819,1273,2092,946,94944
820,1875,1552,1366,112456
821,1600,2297,435,77882
822,1230,1367,688,68843
823,1896,2024,1286,113662
824,1240,2412,870,92073
825,1353,1709,877,80320
826,1082,1993,821,76062
827,1887,2191,495,92189
828,1967,1704,338,82666
829,1500,2195,1291,104388
830,1014,1819,254,53062
831,1676,1698,652,87861
832,1026,1346,820,69154
833,1928,1329,835,88873
834,1897,1362,944,98667
835,1944,1586,1375,113329
836,1344,1857,281,70610
837,1501,1979,520,75258
838,1022,1253,537,60152
839,1802,1410,1256,105286
840,1862,2235,677,93048
841,1533,1667,230,67805
842,1196,1587,1346,97982
843,1963,1539,927,101510
844,1688,1200,1327,104598
845,1118,2053,1096,91897
846,1146,1635,877,83558
847,1353,2315,1418,112531
848,1651,1697,688,89823
849,1651,2478,370,87360
850,1377,2308,986,95939
851,1436,2357,584,88896
852,1844,1339,1397,112994
853,1580,2293,441,84472
854,1173,2489,1021,94697
855,1192,2445,575,74842
856,1089,1360,496,58247
857,1552,1754,1197,99002
858,1775,2031,1392,120979
859,1775,2375,784,100326
860,1246,1624,1127,90307
861,1289,1775,460,70460
862,1570,1359,229,59795
863,1263,1474,875,78204
864,1162,1368,1272,86743
865,1132,2485,1126,96469
866,1389,1312,503,72281
867,1957,1304,1480,116830
868,1118,1865,699,70532
869,1871,2420,847,105125
870,1178,2306,636,79680
871,1588,1569,977,95551
872,1429,1926,224,64220
873,1254,2237,541,79585
874,1352,1221,547,65840
875,1917,1280,827,95341
876,1114,1806,1049,89859
877,1381,1505,645,73215
878,1092,1251,1251,83776
879,1327,2366,959,99360
880,1732,2382,776,97795
881,1751,2234,1368,117161
882,1665,2181,1471,120869
883,1489,2484,1058,104684
884,1247,2406,899,93539
885,1865,2027,418,88060
886,1001,2180,1088,93569
887,1269,2322,1319,103055
888,1116,2009,749,82620
889,1038,2259,1179,96360
890,1213,1314,367,62132
891,1411,1384,674,77674
892,1678,2474,998,107116
893,1980,1467,1415,114098
894,1161,2148,504,69215
895,1769,2034,1268,115497
896,1415,1861,899,92742
897,1245,1834,802,80755
898,1113,2318,831,82116
899,1626,2130,573,90947
900,1294,1901,1241,100009
901,1028,2309,1272,98224
902,1715,2467,974,105108
903,1626,2284,404,84302
904,1867,1939,962,103503
905,1031,1443,563,65016
906,1179,1547,1467,102603
907,1066,1402,670,63374
908,1835,1848,363,78180
909,1928,1915,1396,118421
910,1842,1409,1470,117692
911,1928,1609,1174,112035
912,1993,2182,829,107334
913,1773,1292,1071,101358
914,1000,1796,579,63398
915,1933,1656,366,82563
916,1366,2451,346,80177
917,1840,1464,709,87824
918,1427,1383,711,73834
919,1364,1260,685,70485
920,1792,1872,665,87311
921,1144,2051,1016,90441
922,1381,1867,1147,96657
923,1864,1679,317,75813
924,1224,1636,1467,99956
925,1297,1580,699,72409
926,1152,2078,632,74405
927,1277,2120,843,86616
928,1923,2087,544,89446
929,1046,1384,1025,76298
930,1291,2392,1031,94518
931,1318,1500,286,58320
932,1068,2372,1245,99213
933,1318,1349,312,56048
934,1893,2033,1390,120000
935,1544,2444,301,73753
936,1249,2370,1421,108422
937,1045,1268,980,78892
938,1856,1325,1094,102248
939,1358,1534,473,65448
940,1371,2283,421,73073
941,1938,1896,406,88434
942,1057,2462,1026,90473
943,1665,2000,427,82253
944,1800,1509,1383,106574
945,1360,1848,1254,95301
946,1033,1233,888,71193
947,1502,2444,476,86407
948,1646,1737,590,83461
949,1193,1267,318,52309
950,1307,1713,1075,93927
951,1543,1682,235,64202
952,1391,2104,785,83739
953,1251,1439,622,70829
954,1141,1995,1408,99404
955,1127,2222,783,82862
956,1387,1833,683,82563
957,1412,1613,907,87407
958,1655,2476,261,82363
959,1797,2045,1450,119242
960,1578,1466,927,89513
961,1751,2368,759,95617
962,1061,1791,712,73363
963,1723,2170,1351,119049
964,1096,2352,1117,90963
965,1570,1358,239,65524
966,1978,1459,1300,117261
967,1744,2177,1345,121186
968,1506,1904,1028,98007
969,1930,1494,1098,108920
970,1798,2346,703,102325
971,1185,2291,368,72602
972,1096,1358,1090,77365
973,1945,1477,277,71668
974,1508,1226,795,82323
975,1814,1722,1027,100266
976,1339,2037,266,70009
977,1809,1748,790,92460
978,1276,2361,449,78607
979,1504,1572,1202,102734
980,1040,1950,1349,98383
981,1888,1584,1239,106360
982,1510,1255,1390,99219
983,1110,1691,1022,85973
984,1434,2490,888,96786
985,1502,1459,343,65326
986,1132,1661,1253,94650
987,1265,1237,776,68769
988,1124,1856,853,82846
989,1384,1481,1062,87683
990,1218,1947,1199,100420
991,1405,2091,1002,90960
992,1507,1591,648,77208
993,1074,2152,804,77566
994,1149,1598,428,65507
995,1246,1767,1365,103322
996,1417,2023,1010,99534
997,1887,2404,1339,118313
998,1166,2449,636,81197
999,1805,2462,465,92322
1000,1555,2021,1134,106044
